YEAR,DANE_sede,MATEMATICAS_PUNT,x,y,students
2007,105001000981,43.62208904109579,-75.5625,6.2840261,292
2008,105001000981,43.62298076923081,-75.5625,6.2840261,208
2009,105001000981,42.1419272727272,-75.5625,6.2840261,275
2010,105001000981,43.42210116731519,-75.5625,6.2840261,257
2011,105001000981,47.51612903225806,-75.5625,6.2840261,155
2012,105001000981,44.72767857142857,-75.5625,6.2840261,224
2013,105001000981,45.09467455621301,-75.5625,6.2840261,169
2004,105001000990,39.76198419177805,-75.548691,6.239666,131
2005,105001000990,43.40327422959464,-75.548691,6.239666,168
2006,105001000990,41.93236024844719,-75.548691,6.239666,161
2007,105001000990,42.80048128342241,-75.548691,6.239666,187
2008,105001000990,42.49125984251971,-75.548691,6.239666,127
2009,105001000990,42.42389473684204,-75.548691,6.239666,190
2010,105001000990,41.28132450331124,-75.548691,6.239666,151
2011,105001000990,43.4671052631579,-75.548691,6.239666,152
2012,105001000990,43.13868613138686,-75.548691,6.239666,137
2013,105001000990,41.37404580152672,-75.548691,6.239666,131
2004,105001001121,40.29859298467636,-75.550156,6.2685838,64
2005,105001001121,43.20045481595126,-75.550156,6.2685838,110
2006,105001001121,43.27236842105263,-75.550156,6.2685838,114
2007,105001001121,43.86266666666663,-75.550156,6.2685838,120
2008,105001001121,45.41870689655175,-75.550156,6.2685838,116
2009,105001001121,45.60109589041094,-75.550156,6.2685838,73
2010,105001001121,43.74117021276599,-75.550156,6.2685838,94
2011,105001001121,46.33620689655172,-75.550156,6.2685838,116
2012,105001001121,44.70422535211268,-75.550156,6.2685838,142
2013,105001001121,44.98540145985402,-75.550156,6.2685838,137
2004,105001001155,40.13508415222168,-75.549759,6.2846475,59
2005,105001001155,43.8690003712972,-75.549759,6.2846475,60
2006,105001001155,43.3128048780488,-75.549759,6.2846475,82
2007,105001001155,42.63386666666669,-75.549759,6.2846475,75
2008,105001001155,43.53666666666668,-75.549759,6.2846475,78
2009,105001001155,43.18204819277108,-75.549759,6.2846475,83
2010,105001001155,44.18508771929823,-75.549759,6.2846475,57
2011,105001001155,42.86046511627907,-75.549759,6.2846475,86
2012,105001001155,44.08256880733945,-75.549759,6.2846475,109
2013,105001001155,42.23170731707317,-75.549759,6.2846475,82
2004,105001001236,39.34255255029557,-75.54612,6.2767906,47
2005,105001001236,41.89573813266441,-75.54612,6.2767906,61
2006,105001001236,42.31675000000001,-75.54612,6.2767906,40
2007,105001001236,42.17135593220343,-75.54612,6.2767906,59
2008,105001001236,40.95425925925926,-75.54612,6.2767906,54
2009,105001001236,42.78577777777778,-75.54612,6.2767906,45
2010,105001001236,43.84255813953489,-75.54612,6.2767906,43
2011,105001001236,47.72727272727273,-75.54612,6.2767906,55
2012,105001001236,46.08,-75.54612,6.2767906,50
2013,105001001236,43.31707317073171,-75.54612,6.2767906,41
2004,105001001252,40.17899957384382,-75.613228,6.2506886,70
2005,105001001252,43.79380967881944,-75.613228,6.2506886,63
2006,105001001252,44.42120000000003,-75.613228,6.2506886,50
2007,105001001252,43.77048076923078,-75.613228,6.2506886,104
2008,105001001252,44.28261904761905,-75.613228,6.2506886,84
2009,105001001252,42.58399999999998,-75.613228,6.2506886,85
2010,105001001252,42.78947368421054,-75.613228,6.2506886,76
2011,105001001252,46.8235294117647,-75.613228,6.2506886,68
2012,105001001252,43.83870967741935,-75.613228,6.2506886,62
2013,105001001252,43.52054794520548,-75.613228,6.2506886,73
2004,105001001279,40.41942811693464,-75.555389,6.2905393,70
2005,105001001279,42.43745126911238,-75.555389,6.2905393,102
2006,105001001279,43.9497247706422,-75.555389,6.2905393,109
2007,105001001279,41.599724137931,-75.555389,6.2905393,145
2008,105001001279,40.70228395061732,-75.555389,6.2905393,162
2009,105001001279,39.98837037037035,-75.555389,6.2905393,135
2010,105001001279,41.29300000000003,-75.555389,6.2905393,130
2011,105001001279,41.65420560747663,-75.555389,6.2905393,107
2012,105001001279,44.85714285714285,-75.555389,6.2905393,91
2013,105001001279,43.25563909774436,-75.555389,6.2905393,133
2004,105001001368,39.04533309936524,-75.551941,6.2689891,15
2005,105001001368,41.80366725921631,-75.551941,6.2689891,30
2006,105001001368,45.92620689655173,-75.551941,6.2689891,29
2007,105001001368,42.25242424242426,-75.551941,6.2689891,33
2008,105001001368,41.21425000000001,-75.551941,6.2689891,40
2009,105001001368,41.05904761904763,-75.551941,6.2689891,42
2010,105001001368,41.865,-75.551941,6.2689891,32
2011,105001001368,42.96153846153846,-75.551941,6.2689891,26
2012,105001001368,47.55555555555556,-75.551941,6.2689891,18
2013,105001001368,46.11111111111111,-75.551941,6.2689891,18
2004,105001001473,40.7190319184334,-75.548561,6.2663603,31
2005,105001001473,43.32388927318431,-75.548561,6.2663603,54
2006,105001001473,43.07644067796612,-75.548561,6.2663603,59
2007,105001001473,43.34109589041099,-75.548561,6.2663603,73
2008,105001001473,45.60022988505748,-75.548561,6.2663603,87
2009,105001001473,40.40225352112676,-75.548561,6.2663603,71
2010,105001001473,42.87492537313436,-75.548561,6.2663603,67
2011,105001001473,45.18604651162791,-75.548561,6.2663603,43
2012,105001001473,43.08695652173913,-75.548561,6.2663603,69
2013,105001001473,43.0377358490566,-75.548561,6.2663603,53
2004,105001001490,40.45684149390772,-75.611473,6.2571406,152
2005,105001001490,44.14278870362502,-75.611473,6.2571406,208
2006,105001001490,43.35716738197415,-75.611473,6.2571406,233
2007,105001001490,44.12145593869723,-75.611473,6.2571406,261
2008,105001001490,43.73747524752478,-75.611473,6.2571406,202
2009,105001001490,45.67271186440675,-75.611473,6.2571406,177
2010,105001001490,45.67391634980988,-75.611473,6.2571406,263
2011,105001001490,50.34684684684684,-75.611473,6.2571406,222
2012,105001001490,47.77810650887574,-75.611473,6.2571406,338
2013,105001001490,45.22268907563025,-75.611473,6.2571406,238
2004,105001001562,40.95826029201636,-75.559952,6.2484221,207
2005,105001001562,43.73354872250886,-75.559952,6.2484221,217
2006,105001001562,44.18868055555544,-75.559952,6.2484221,288
2007,105001001562,45.11753138075304,-75.559952,6.2484221,239
2008,105001001562,43.64364197530861,-75.559952,6.2484221,324
2009,105001001562,44.85292775665396,-75.559952,6.2484221,263
2010,105001001562,46.34651162790701,-75.559952,6.2484221,301
2011,105001001562,47.97916666666666,-75.559952,6.2484221,240
2012,105001001562,46.05179282868526,-75.559952,6.2484221,251
2013,105001001562,44.18636363636364,-75.559952,6.2484221,220
2004,105001001635,40.92318783635678,-75.597961,6.2293525,69
2005,105001001635,45.8932674143574,-75.597961,6.2293525,101
2006,105001001635,46.86346153846154,-75.597961,6.2293525,104
2007,105001001635,46.64429687499997,-75.597961,6.2293525,128
